,precision,recall,f1-score,support
Insufficient_Weight,0.78125,0.9433962264150944,0.8547008547008547,53.0
Normal_Weight,0.6964285714285714,0.6842105263157895,0.6902654867256637,57.0
Obesity_Type_I,0.7916666666666666,0.8142857142857143,0.8028169014084507,70.0
Obesity_Type_II,0.9076923076923077,0.9833333333333333,0.944,60.0
Obesity_Type_III,1.0,0.9692307692307692,0.984375,65.0
Overweight_Level_I,0.574468085106383,0.4909090909090909,0.5294117647058824,55.0
Overweight_Level_II,0.6666666666666666,0.5862068965517241,0.6238532110091743,58.0
accuracy,0.7870813397129187,0.7870813397129187,0.7870813397129187,0.7870813397129187
macro avg,0.7740246139372279,0.7816532224345023,0.7756318883642893,418.0
weighted avg,0.7804863517874436,0.7870813397129187,0.7817391613360175,418.0
